user_id,secs_elapsed,timestamp_first_active,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
0035hobuyj,5410613,20140102222454.0,FEMALE,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
00s1ecz3b2,492667,20140102051104.0,MALE,47.0,basic,0.0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
039664pl26,1293531,20140102205915.0,FEMALE,25.0,basic,0.0,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,US
03jbozytmd,577495,20140107235032.0,MALE,27.0,basic,23.0,en,direct,direct,omg,Android,Windows Desktop,IE,other
03qbeknjp1,3550037,20140102212824.0,-unknown-,47.0,basic,0.0,nl,direct,direct,untracked,Web,Mac Desktop,Safari,other
04kwlgm6ke,2305071,20140106055308.0,FEMALE,49.0,facebook,0.0,en,direct,direct,untracked,Web,Windows Desktop,IE,US
058h6gp2af,968265,20140107233200.0,MALE,35.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
07uj7rw2h7,2001378,20140102043322.0,-unknown-,31.0,basic,0.0,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR
09305vitud,5746760,20140103052611.0,MALE,27.0,basic,0.0,en,direct,direct,linked,Web,Desktop (Other),Chrome,other
0axhxz1wuv,1318764,20140106001405.0,FEMALE,29.0,basic,0.0,en,other,other,linked,Web,iPad,Mobile Safari,US
0cyihyw891,583168,20140106045151.0,-unknown-,47.0,basic,0.0,en,direct,direct,untracked,Web,Mac Desktop,Safari,GB
0e9rascg0c,226145,20140101184913.0,-unknown-,47.0,basic,0.0,zh,direct,direct,untracked,Web,Windows Desktop,IE,US
0gwnjqum9m,919320,20140102003328.0,MALE,27.0,facebook,12.0,en,api,other,untracked,iOS,iPhone,Mobile Safari,AU
0hd0eohy12,2911192,20140105220144.0,-unknown-,34.0,basic,0.0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
0hiz56zwb3,984917,20140103221350.0,MALE,30.0,facebook,12.0,en,api,other,untracked,iOS,Mac Desktop,Chrome,US
